po_1,po_2,export_country,import_country,prod_cat,mode,ori_port,dest_port,size,carrier,vessel,container_no,etd,eta,atd,ata,date,year,month,day,wday,month_sn,day_sn,request_date,confirm_date,pickup_date,empty_arrival_date,arrival_time,loading_date,gatein_date
4513509526,4513494292,PH,TH,Fabric Care,Air,MANILA,THAILAND,Pallets (for AF),CEBU PACIFIC AIR,5J929,,2019-07-26 00:00:00,2019-07-26 00:00:00,2019-07-26 00:00:00,2019-07-26 00:00:00,2019-07-19 00:00:00,2019,4.0,19,4,201907,230,2019-07-19 00:00:00,2019-07-19 00:00:00,,,,,
4513535627,4513535443,PH,VN,Baby Care,Air,MANILA,VIETNAM,Pallets (for AF),CEBU PACIFIC AIR,5J751,,2019-08-01 00:00:00,2019-08-01 00:00:00,2019-08-01 00:00:00,2019-08-01 00:00:00,2019-08-01 00:00:00,2019,3.0,1,3,201908,243,2019-07-31 00:00:00,2019-08-01 00:00:00,,,,,
4513535681,4513535584,PH,VN,Baby Care,Sea,MANILA,VIETNAM,40',SCHENKER,GREEN ACE,FCIU7543360,2019-08-06 00:00:00,2019-08-09 00:00:00,2019-08-06 00:00:00,2019-08-06 00:00:00,2019-08-01 00:00:00,2019,3.0,1,3,201908,243,2019-07-29 00:00:00,2019-07-31 00:00:00,2019-08-01 00:00:00,2019-08-02 00:00:00,1900-01-01 05:50:00,2019-08-03 00:00:00,2019-08-03 00:00:00
4513535683,4513534945,PH,VN,Baby Care,Sea,MANILA,VIETNAM,40',SCHENKER,GREEN ACE,CAIU4928000,2019-08-06 00:00:00,2019-08-09 00:00:00,2019-08-06 00:00:00,2019-08-06 00:00:00,2019-08-01 00:00:00,2019,3.0,1,3,201908,243,2019-07-29 00:00:00,2019-07-31 00:00:00,2019-08-01 00:00:00,2019-08-02 00:00:00,1900-01-01 09:47:00,2019-08-03 00:00:00,2019-08-03 00:00:00
4513535685,4513535272,PH,VN,Baby Care,Sea,MANILA,VIETNAM,40',SCHENKER,GREEN ACE,BEAU4855573,2019-08-06 00:00:00,2019-08-09 00:00:00,2019-08-06 00:00:00,2019-08-06 00:00:00,2019-08-02 00:00:00,2019,4.0,2,4,201908,244,2019-07-29 00:00:00,2019-07-31 00:00:00,2019-08-02 00:00:00,2019-08-02 00:00:00,1900-01-01 15:40:00,2019-08-03 00:00:00,2019-08-03 00:00:00
4513535687,4513535688,PH,VN,Baby Care,Sea,MANILA,VIETNAM,40',SCHENKER,GREEN ACE,SEGU6662003,2019-08-06 00:00:00,2019-08-09 00:00:00,2019-08-06 00:00:00,2019-08-06 00:00:00,2019-08-02 00:00:00,2019,4.0,2,4,201908,244,2019-07-29 00:00:00,2019-07-31 00:00:00,2019-08-02 00:00:00,2019-08-02 00:00:00,1900-01-01 15:53:00,2019-08-03 00:00:00,2019-08-04 00:00:00
4513547373,4513548205,PH,VN,Baby Care,Sea,MANILA,VIETNAM,40',SCHENKER,GREEN ACE,TLLU5222542,2019-08-06 00:00:00,2019-08-09 00:00:00,2019-08-06 00:00:00,2019-08-06 00:00:00,2019-08-03 00:00:00,2019,5.0,3,5,201908,245,2019-07-29 00:00:00,2019-07-31 00:00:00,2019-08-03 00:00:00,2019-08-03 00:00:00,1900-01-01 17:39:00,2019-08-04 00:00:00,2019-08-04 00:00:00
4513547375,4513548725,PH,VN,Baby Care,Sea,MANILA,VIETNAM,20',SCHENKER,GREEN ACE,TCKU3428483,2019-08-06 00:00:00,2019-08-09 00:00:00,2019-08-06 00:00:00,2019-08-06 00:00:00,2019-08-02 00:00:00,2019,4.0,2,4,201908,244,2019-07-29 00:00:00,2019-07-31 00:00:00,2019-08-02 00:00:00,2019-08-03 00:00:00,1900-01-01 01:24:00,2019-08-03 00:00:00,2019-08-04 00:00:00
4513477685,,PH,VN,Baby Care,Air,MANILA,VIETNAM,Pallets (for AF),CEBU PACIFIC,5J751,,2019-07-17 00:00:00,2019-07-17 00:00:00,2019-07-17 00:00:00,2019-07-17 00:00:00,2019-07-16 00:00:00,2019,1.0,16,1,201907,227,2019-07-17 00:00:00,2019-07-16 00:00:00,,,,,
4513571243,4513571012,PH,TH,Fabric Care,Air,MANILA,THAILAND,Pallets (for AF),CEBU PACIFIC,5J929,,2019-08-14 00:00:00,2019-08-14 00:00:00,2019-08-14 00:00:00,2019-08-14 00:00:00,2019-08-13 00:00:00,2019,1.0,13,1,201908,255,2019-08-14 00:00:00,2019-08-13 00:00:00,,,,,
4513574254,4513573998,PH,TH,Fabric Care,Air,MANILA,THAILAND,Pallets (for AF),CEBU PACIFIC,5J929,,2019-08-16 00:00:00,2019-08-16 00:00:00,2019-08-17 00:00:00,2019-08-17 00:00:00,2019-08-14 00:00:00,2019,2.0,14,2,201908,256,2019-08-16 00:00:00,2019-08-14 00:00:00,,,,,
4513574256,4513574160,PH,TH,Fabric Care,Air,MANILA,THAILAND,Pallets (for AF),CEBU PACIFIC,5J929,,2019-08-16 00:00:00,2019-08-16 00:00:00,2019-08-17 00:00:00,2019-08-17 00:00:00,2019-08-14 00:00:00,2019,2.0,14,2,201908,256,2019-08-16 00:00:00,2019-08-14 00:00:00,,,,,
4513574258,4513573133,PH,TH,Fabric Care,Air,MANILA,THAILAND,Pallets (for AF),CEBU PACIFIC,5J929,,2019-08-17 00:00:00,2019-08-17 00:00:00,2019-08-16 00:00:00,2019-08-16 00:00:00,2019-08-14 00:00:00,2019,2.0,14,2,201908,256,2019-08-17 00:00:00,2019-08-14 00:00:00,,,,,
4513574260,4513574417,PH,TH,Fabric Care,Air,MANILA,THAILAND,Pallets (for AF),CEBU PACIFIC,5J929,,2019-08-17 00:00:00,2019-08-17 00:00:00,2019-08-16 00:00:00,2019-08-16 00:00:00,2019-08-14 00:00:00,2019,2.0,14,2,201908,256,2019-08-17 00:00:00,2019-08-14 00:00:00,,,,,
4513591753,4513591936,PH,TH,Fabric Care,Air,MANILA,THAILAND,Pallets (for AF),CEBU PACIFIC,5J929,,2019-08-19 00:00:00,2019-08-19 00:00:00,2019-08-19 00:00:00,2019-08-19 00:00:00,2019-08-16 00:00:00,2019,4.0,16,4,201908,258,2019-08-16 00:00:00,2019-08-16 00:00:00,,,,,
4513883874,4513883875,PH,AU,Home Care,Air,MANILA,SYDNEY,Loose,QANTAS,QF020,,2019-11-20 00:00:00,2019-11-21 00:00:00,2019-11-20 00:00:00,2019-11-21 00:00:00,2019-11-20 00:00:00,2019,2.0,20,2,201911,354,2019-11-20 00:00:00,2019-11-20 00:00:00,2019-11-20 00:00:00,2019-11-20 00:00:00,1900-01-01 07:00:00,2019-11-20 00:00:00,2019-11-20 00:00:00
